"Date","Time","Time zone","Name","Type","Status","Currency","Amount","Fees","Total","Exchange Rate","Receipt ID","Balance","Transaction ID","Item Title"
"18/03/2025","19:30:00","AEST","","General Credit Card Deposit","Completed","AUD","65.88","0.00","65.88",,"","0.00","3S0887271J8811948",""
"27/03/2025","11:28:45","AEST","NXbiz Pty Ltd","Express Checkout Payment","Completed","AUD","-188.46","0.00","-188.46",,"","-188.46","98F34177KJ668524E",""
"27/03/2025","11:28:45","AEST","","General Credit Card Deposit","Completed","AUD","188.46","0.00","188.46",,"","0.00","3U35098910691583W",""
"27/03/2025","12:14:41","AEST","ALIPAY (AUSTRALIA) PTY LTD","Express Checkout Payment","Completed","AUD","-19.94","0.00","-19.94",,"","-19.94","28W29719T4039830H",""
"27/03/2025","12:14:41","AEST","","General Credit Card Deposit","Completed","AUD","19.94","0.00","19.94",,"","0.00","49577454VR1579440",""
"10/04/2025","09:23:36","AEST","Rapha Racing Limited","Express Checkout Payment","Completed","AUD","-475.00","0.00","-475.00",,"","-475.00","1B641279GN0538249",""
"10/04/2025","09:23:36","AEST","","General Credit Card Deposit","Completed","AUD","475.00","0.00","475.00",,"","0.00","47849693AT8388038",""
"12/04/2025","06:44:04","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-29.99","0.00","-29.99",,"","-29.99","9MW165191A6851012",""
"12/04/2025","06:44:04","AEST","","General Credit Card Deposit","Completed","AUD","29.99","0.00","29.99",,"","0.00","1ME51204SF3242432",""
"16/04/2025","02:06:08","AEST","ALDImobile","Pre-approved Payment Bill User Payment","Completed","AUD","-28.00","0.00","-28.00",,"","-28.00","3V800284RY4407251",""
"16/04/2025","02:06:08","AEST","","General Credit Card Deposit","Completed","AUD","28.00","0.00","28.00",,"","0.00","48B7876281413545G",""
"17/04/2025","10:35:27","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-4.49","0.00","-4.49",,"","-4.49","5PA43203XA496731F",""
"17/04/2025","10:35:27","AEST","","General Credit Card Deposit","Completed","AUD","4.49","0.00","4.49",,"","0.00","5GU24749XA884905M",""
"06/05/2025","16:26:22","AEST","Trainer Road LLC","Pre-approved Payment Bill User Payment","Completed","USD","-21.99","0.00","-21.99",,"","-21.99","6HW445610A024345A",""
"06/05/2025","16:26:22","AEST","","General Credit Card Deposit","Completed","AUD","35.69","0.00","35.69",,"","35.69","48B871045F6039712",""
"06/05/2025","16:26:22","AEST","","General Currency Conversion","Completed","AUD","-35.69","0.00","-35.69",0.616131954336941,"","0.00","89R28994SE4973931",""
"06/05/2025","16:26:22","AEST","","General Currency Conversion","Completed","USD","21.99","0.00","21.99",,"","0.00","84M884341G012502Y",""
"12/05/2025","06:41:49","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-29.99","0.00","-29.99",,"","-29.99","40W83971A8773493X",""
"12/05/2025","06:41:49","AEST","","General Credit Card Deposit","Completed","AUD","29.99","0.00","29.99",,"","0.00","7WX02008B1870422Y",""
"17/05/2025","02:36:26","AEST","ALDImobile","Pre-approved Payment Bill User Payment","Completed","AUD","-28.00","0.00","-28.00",,"","-28.00","6GP511122P526240V",""
"17/05/2025","02:36:26","AEST","","General Credit Card Deposit","Completed","AUD","28.00","0.00","28.00",,"","0.00","3HW37133AV390582K",""
"17/05/2025","10:36:22","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-4.49","0.00","-4.49",,"","-4.49","7XL118869V675330K",""
"17/05/2025","10:36:22","AEST","","General Credit Card Deposit","Completed","AUD","4.49","0.00","4.49",,"","0.00","5NY44459RE2880934",""
"19/05/2025","14:22:12","AEST","Jagex Limited","General Authorisation","Pending","AUD","-19.99","0.00","-19.99",,"","0.00","46M42451C5094562P",""
"22/05/2025","12:22:17","AEST","Jagex Limited","Pre-approved Payment Bill User Payment","Completed","AUD","-19.99","0.00","-19.99",,"","-19.99","0A632551FY255520U",""
"22/05/2025","12:22:17","AEST","","General Credit Card Deposit","Completed","AUD","19.99","0.00","19.99",,"","0.00","5YS28519BN784813Y",""
"22/05/2025","12:22:17","AEST","Jagex Limited","General Authorisation","Completed","AUD","-19.99","0.00","-19.99",,"","0.00","46M42451C5094562P",""
"05/06/2025","21:15:39","AEST","Trainer Road LLC","Pre-approved Payment Bill User Payment","Completed","USD","-21.99","0.00","-21.99",,"","-21.99","5WK622514M2852622",""
"05/06/2025","21:15:39","AEST","","General Credit Card Deposit","Completed","AUD","35.55","0.00","35.55",,"","35.55","8N2752440G755153P",""
"05/06/2025","21:15:39","AEST","","General Currency Conversion","Completed","AUD","-35.55","0.00","-35.55",0.618531985218139,"","0.00","6JB22315D15027819",""
"05/06/2025","21:15:39","AEST","","General Currency Conversion","Completed","USD","21.99","0.00","21.99",,"","0.00","25Y875887X2623113",""
"11/06/2025","20:36:17","AEST","Rapha Racing Limited","Express Checkout Payment","Completed","AUD","-210.00","0.00","-210.00",,"","-210.00","2NA400708T454945C",""
"11/06/2025","20:36:17","AEST","","General Credit Card Deposit","Completed","AUD","210.00","0.00","210.00",,"","0.00","70967263RW7735917",""
"12/06/2025","06:41:49","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-29.99","0.00","-29.99",,"","-29.99","1UT305550S2533415",""
"12/06/2025","06:41:49","AEST","","General Credit Card Deposit","Completed","AUD","29.99","0.00","29.99",,"","0.00","8SW35191BY061014B",""
"16/06/2025","14:22:23","AEST","Jagex Limited","General Authorisation","Pending","AUD","-19.99","0.00","-19.99",,"","0.00","37U64636KM521183S",""
"16/06/2025","14:22:29","AEST","Jagex Limited","Pre-approved Payment Bill User Payment","Completed","AUD","-19.99","0.00","-19.99",,"","-19.99","3HD64639TN507583A",""
"16/06/2025","14:22:29","AEST","","General Credit Card Deposit","Completed","AUD","19.99","0.00","19.99",,"","0.00","19W47622J7126353F",""
"16/06/2025","14:22:29","AEST","Jagex Limited","General Authorisation","Completed","AUD","-19.99","0.00","-19.99",,"","0.00","37U64636KM521183S",""
"17/06/2025","02:22:21","AEST","ALDImobile","Pre-approved Payment Bill User Payment","Completed","AUD","-28.00","0.00","-28.00",,"","-28.00","7FU797677R0992100",""
"17/06/2025","02:22:21","AEST","","General Credit Card Deposit","Completed","AUD","28.00","0.00","28.00",,"","0.00","5LE93587XM5134935",""
"17/06/2025","10:35:14","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-4.49","0.00","-4.49",,"","-4.49","49L73318U06785402",""
"17/06/2025","10:35:14","AEST","","General Credit Card Deposit","Completed","AUD","4.49","0.00","4.49",,"","0.00","01B1186580921023V",""
"24/06/2025","10:37:07","AEST","Adventure Online Pty Ltd","Express Checkout Payment","Completed","AUD","-101.92","0.00","-101.92",,"","-101.92","3G618886T7013315S",""
"24/06/2025","10:37:07","AEST","","General Credit Card Deposit","Completed","AUD","101.92","0.00","101.92",,"","0.00","0Y993976P5618682E",""
"26/06/2025","12:22:20","AEST","Jagex Limited","General Authorisation","Pending","AUD","-19.99","0.00","-19.99",,"","0.00","5MR59823EX919305S",""
"29/06/2025","10:22:25","AEST","Jagex Limited","Pre-approved Payment Bill User Payment","Completed","AUD","-19.99","0.00","-19.99",,"","-19.99","28P44224RH961914T",""
